Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
GetObjectTagging,Grants permission to return the tag set of an object,Read,object*,,
GetObjectTorrent,Grants permission to return torrent files from an Amazon S3 bucket,Read,object*,,
GetObjectTorrent,Grants permission to return torrent files from an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectVersion,Grants permission to retrieve a specific version of an object,Read,object*,,
GetObjectVersion,Grants permission to retrieve a specific version of an object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetObjectVersionAcl,Grants permission to return the access control list (ACL) of a specific object version,Read,object*,,
GetObjectVersionAcl,Grants permission to return the access control list (ACL) of a specific object version,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetObjectVersionAttributes,Grants permission to retrieve attributes related to a specific version of an object,Read,object*,,
GetObjectVersionAttributes,Grants permission to retrieve attributes related to a specific version of an object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetObjectVersionForReplication,Grants permission to replicate both unencrypted objects and objects encrypted with SSE-S3 or SSE-KMS,Read,object*,,
GetObjectVersionForReplication,Grants permission to replicate both unencrypted objects and objects encrypted with SSE-S3 or SSE-KMS,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectVersionTagging,Grants permission to return the tag set for a specific version of the object,Read,object*,,
GetObjectVersionTagging,Grants permission to return the tag set for a specific version of the object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetObjectVersionTorrent,Grants permission to get Torrent files about a different version using the versionId subresource,Read,object*,,
GetObjectVersionTorrent,Grants permission to get Torrent files about a different version using the versionId subresource,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
GetReplicationConfiguration,Grants permission to get the replication configuration information set on an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetReplicationConfiguration,Grants permission to get the replication configuration information set on an Amazon S3 bucket,Read,bucket*,,
GetStorageLensConfiguration,Grants permission to get an Amazon S3 Storage Lens configuration,Read,storagelensconfiguration*,,
GetStorageLensConfiguration,Grants permission to get an Amazon S3 Storage Lens configuration,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetStorageLensConfigurationTagging,Grants permission to get the tag set of an existing Amazon S3 Storage Lens configuration,Read,storagelensconfiguration*,,
GetStorageLensConfigurationTagging,Grants permission to get the tag set of an existing Amazon S3 Storage Lens configuration,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetStorageLensDashboard,Grants permission to get an Amazon S3 Storage Lens dashboard,Read,storagelensconfiguration*,,
GetStorageLensDashboard,Grants permission to get an Amazon S3 Storage Lens dashboard,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
InitiateReplication,Grants permission to initiate the replication process by setting replication status of an object to pending,Write,object*,,
InitiateReplication,Grants permission to initiate the replication process by setting replication status of an object to pending,Write,,s3:ResourceAccount,
ListAccessPoints,Grants permission to list access points,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListAccessPointsForObjectLambda,Grants permission to list object lambda enabled accesspoints,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListAllMyBuckets,Grants permission to list all buckets owned by the authenticated sender of the request,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListBucket,Grants permission to list some or all of the objects in an Amazon S3 bucket (up to 1000),List,bucket*,,
ListBucket,Grants permission to list some or all of the objects in an Amazon S3 bucket (up to 1000),List,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:delimiter  s3:max-keys  s3:prefix  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListBucketMultipartUploads,Grants permission to list in-progress multipart uploads,List,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListBucketMultipartUploads,Grants permission to list in-progress multipart uploads,List,bucket*,,
ListBucketVersions,Grants permission to list metadata about all the versions of objects in an Amazon S3 bucket,List,bucket*,,
ListBucketVersions,Grants permission to list metadata about all the versions of objects in an Amazon S3 bucket,List,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:delimiter  s3:max-keys  s3:prefix  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListJobs,Grants permission to list current jobs and jobs that have ended recently,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListMultiRegionAccessPoints,Grants permission to list multi region access points,List,,s3:authType  s3:ResourceAccount  s3:signatureversion  s3:signatureAge  s3:TlsVersion,
ListMultipartUploadParts,Grants permission to list the parts that have been uploaded for a specific multipart upload,List,object*,,
ListMultipartUploadParts,Grants permission to list the parts that have been uploaded for a specific multipart upload,List,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ListStorageLensConfigurations,Grants permission to list Amazon S3 Storage Lens configurations,List,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ObjectOwnerOverrideToBucketOwner,Grants permission to change replica ownership,Permissions management,object*,,
ObjectOwnerOverrideToBucketOwner,Grants permission to change replica ownership,Permissions management,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAccelerateConfiguration,Grants permission to use the accelerate subresource to set the Transfer Acceleration state of an existing S3 bucket,Write,bucket*,,
PutAccelerateConfiguration,Grants permission to use the accelerate subresource to set the Transfer Acceleration state of an existing S3 bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAccessPointConfigurationForObjectLambda,Grants permission to set the configuration of the object lambda enabled access point,Write,,s3:DataAccessPointArn  s3:DataAccessPointAccount  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAccessPointConfigurationForObjectLambda,Grants permission to set the configuration of the object lambda enabled access point,Write,objectlambdaaccesspoint*,,
PutAccessPointPolicy,Grants permission to associate an access policy with a specified access point,Permissions management,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAccessPointPolicy,Grants permission to associate an access policy with a specified access point,Permissions management,accesspoint*,,
PutAccessPointPolicyForObjectLambda,Grants permission to associate an access policy with a specified object lambda enabled access point,Permissions management,objectlambdaaccesspoint*,,
PutAccessPointPolicyForObjectLambda,Grants permission to associate an access policy with a specified object lambda enabled access point,Permissions management,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAccessPointPublicAccessBlock,"Grants permission to associate public access block configurations with a specified access point, while creating a access point",Permissions management,,,
PutAccountPublicAccessBlock,Grants permission to create or modify the PublicAccessBlock configuration for an AWS account,Permissions management,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutAnalyticsConfiguration,"Grants permission to set an analytics configuration for the bucket, specified by the analytics configuration ID",Write,bucket*,,
PutAnalyticsConfiguration,"Grants permission to set an analytics configuration for the bucket, specified by the analytics configuration ID",Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketAcl,Grants permission to set the permissions on an existing bucket using access control lists (ACLs),Permissions management,bucket*,,
PutBucketAcl,Grants permission to set the permissions on an existing bucket using access control lists (ACLs),Permissions management,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-acl  s3:x-amz-content-sha256  s3:x-amz-grant-full-control  s3:x-amz-grant-read  s3:x-amz-grant-read-acp  s3:x-amz-grant-write  s3:x-amz-grant-write-acp,
PutBucketCORS,Grants permission to set the CORS configuration for an Amazon S3 bucket,Write,bucket*,,
PutBucketCORS,Grants permission to set the CORS configuration for an Amazon S3 bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketLogging,Grants permission to set the logging parameters for an Amazon S3 bucket,Write,bucket*,,
PutBucketLogging,Grants permission to set the logging parameters for an Amazon S3 bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketNotification,Grants permission to receive notifications when certain events happen in an Amazon S3 bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketNotification,Grants permission to receive notifications when certain events happen in an Amazon S3 bucket,Write,bucket*,,
PutBucketObjectLockConfiguration,Grants permission to put Object Lock configuration on a specific bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:TlsVersion  s3:signatureversion,
PutBucketObjectLockConfiguration,Grants permission to put Object Lock configuration on a specific bucket,Write,bucket*,,
PutBucketOwnershipControls,"Grants permission to add, replace or delete ownership controls on a bucket",Write,bucket*,,
PutBucketOwnershipControls,"Grants permission to add, replace or delete ownership controls on a bucket",Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketPolicy,Grants permission to add or replace a bucket policy on a bucket,Permissions management,bucket*,,
PutBucketPolicy,Grants permission to add or replace a bucket policy on a bucket,Permissions management,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketPublicAccessBlock,Grants permission to create or modify the PublicAccessBlock configuration for a specific Amazon S3 bucket,Permissions management,bucket*,,
PutBucketPublicAccessBlock,Grants permission to create or modify the PublicAccessBlock configuration for a specific Amazon S3 bucket,Permissions management,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketRequestPayment,Grants permission to set the request payment configuration of a bucket,Write,bucket*,,
PutBucketRequestPayment,Grants permission to set the request payment configuration of a bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketTagging,Grants permission to add a set of tags to an existing Amazon S3 bucket,Tagging,bucket*,,
PutBucketTagging,Grants permission to add a set of tags to an existing Amazon S3 bucket,Tagging,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketVersioning,Grants permission to set the versioning state of an existing Amazon S3 bucket,Write,bucket*,,
PutBucketVersioning,Grants permission to set the versioning state of an existing Amazon S3 bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketWebsite,Grants permission to set the configuration of the website that is specified in the website subresource,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutBucketWebsite,Grants permission to set the configuration of the website that is specified in the website subresource,Write,bucket*,,
PutEncryptionConfiguration,Grants permission to set the encryption configuration for an Amazon S3 bucket,Write,bucket*,,
PutEncryptionConfiguration,Grants permission to set the encryption configuration for an Amazon S3 bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutIntelligentTieringConfiguration,Grants permission to create new or update or delete an existing Amazon S3 Intelligent Tiering configuration,Write,bucket*,,
PutIntelligentTieringConfiguration,Grants permission to create new or update or delete an existing Amazon S3 Intelligent Tiering configuration,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutInventoryConfiguration,"Grants permission to add an inventory configuration to the bucket, identified by the inventory ID",Write,bucket*,,
PutInventoryConfiguration,"Grants permission to add an inventory configuration to the bucket, identified by the inventory ID",Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutJobTagging,Grants permission to replace tags on an existing Amazon S3 Batch Operations job,Tagging,job*,,
PutJobTagging,Grants permission to replace tags on an existing Amazon S3 Batch Operations job,Tagging,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256  s3:ExistingJobPriority  s3:ExistingJobOperation  aws:TagKeys  aws:RequestTag/${TagKey},
PutLifecycleConfiguration,Grants permission to create a new lifecycle configuration for the bucket or replace an existing lifecycle configuration,Write,bucket*,,
PutLifecycleConfiguration,Grants permission to create a new lifecycle configuration for the bucket or replace an existing lifecycle configuration,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutMetricsConfiguration,Grants permission to set or update a metrics configuration for the CloudWatch request metrics from an Amazon S3 bucket,Write,bucket*,,
PutMetricsConfiguration,Grants permission to set or update a metrics configuration for the CloudWatch request metrics from an Amazon S3 bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutMultiRegionAccessPointPolicy,Grants permission to associate an access policy with a specified multi region access point,Permissions management,multiregionaccesspoint*,,
PutMultiRegionAccessPointPolicy,Grants permission to associate an access policy with a specified multi region access point,Permissions management,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureversion  s3:signatureAge  s3:TlsVersion,
PutObject,Grants permission to add an object to a bucket,Write,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:RequestObjectTag/<key>  s3:RequestObjectTagKeys  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-acl  s3:x-amz-content-sha256  s3:x-amz-copy-source  s3:x-amz-grant-full-control  s3:x-amz-grant-read  s3:x-amz-grant-read-acp  s3:x-amz-grant-write  s3:x-amz-grant-write-acp  s3:x-amz-metadata-directive  s3:x-amz-server-side-encryption  s3:x-amz-server-side-encryption-aws-kms-key-id  s3:x-amz-storage-class  s3:x-amz-website-redirect-location  s3:object-lock-mode  s3:object-lock-retain-until-date  s3:object-lock-remaining-retention-days  s3:object-lock-legal-hold,
PutObject,Grants permission to add an object to a bucket,Write,object*,,
PutObjectAcl,Grants permission to set the access control list (ACL) permissions for new or existing objects in an S3 bucket,Permissions management,object*,,
PutObjectAcl,Grants permission to set the access control list (ACL) permissions for new or existing objects in an S3 bucket,Permissions management,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-acl  s3:x-amz-content-sha256  s3:x-amz-grant-full-control  s3:x-amz-grant-read  s3:x-amz-grant-read-acp  s3:x-amz-grant-write  s3:x-amz-grant-write-acp  s3:x-amz-storage-class,
PutObjectLegalHold,Grants permission to apply a Legal Hold configuration to the specified object,Write,object*,,
PutObjectLegalHold,Grants permission to apply a Legal Hold configuration to the specified object,Write,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256  s3:object-lock-legal-hold,
PutObjectRetention,Grants permission to place an Object Retention configuration on an object,Write,object*,,
PutObjectRetention,Grants permission to place an Object Retention configuration on an object,Write,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256  s3:object-lock-mode  s3:object-lock-retain-until-date  s3:object-lock-remaining-retention-days,
PutObjectTagging,Grants permission to set the supplied tag-set to an object that already exists in a bucket,Tagging,object*,,
PutObjectTagging,Grants permission to set the supplied tag-set to an object that already exists in a bucket,Tagging,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:RequestObjectTag/<key>  s3:RequestObjectTagKeys  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutObjectVersionAcl,Grants permission to use the acl subresource to set the access control list (ACL) permissions for an object that already exists in a bucket,Permissions management,object*,,
PutObjectVersionAcl,Grants permission to use the acl subresource to set the access control list (ACL) permissions for an object that already exists in a bucket,Permissions management,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-acl  s3:x-amz-content-sha256  s3:x-amz-grant-full-control  s3:x-amz-grant-read  s3:x-amz-grant-read-acp  s3:x-amz-grant-write  s3:x-amz-grant-write-acp  s3:x-amz-storage-class,
PutObjectVersionTagging,Grants permission to set the supplied tag-set for a specific version of an object,Tagging,object*,,
PutObjectVersionTagging,Grants permission to set the supplied tag-set for a specific version of an object,Tagging,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:RequestObjectTag/<key>  s3:RequestObjectTagKeys  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:versionid  s3:x-amz-content-sha256,
PutReplicationConfiguration,Grants permission to create a new replication configuration or replace an existing one,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
PutReplicationConfiguration,Grants permission to create a new replication configuration or replace an existing one,Write,bucket*,,iam:PassRole
PutStorageLensConfiguration,Grants permission to create or update an Amazon S3 Storage Lens configuration,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256  aws:TagKeys  aws:RequestTag/${TagKey},
PutStorageLensConfigurationTagging,Grants permission to put or replace tags on an existing Amazon S3 Storage Lens configuration,Tagging,storagelensconfiguration*,,
PutStorageLensConfigurationTagging,Grants permission to put or replace tags on an existing Amazon S3 Storage Lens configuration,Tagging,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256  aws:TagKeys  aws:RequestTag/${TagKey},
ReplicateDelete,Grants permission to replicate delete markers to the destination bucket,Write,object*,,
ReplicateDelete,Grants permission to replicate delete markers to the destination bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
ReplicateObject,Grants permission to replicate objects and object tags to the destination bucket,Write,object*,,
ReplicateObject,Grants permission to replicate objects and object tags to the destination bucket,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256  s3:x-amz-server-side-encryption  s3:x-amz-server-side-encryption-aws-kms-key-id,
ReplicateTags,Grants permission to replicate object tags to the destination bucket,Tagging,object*,,
ReplicateTags,Grants permission to replicate object tags to the destination bucket,Tagging,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
RestoreObject,Grants permission to restore an archived copy of an object back into Amazon S3,Write,object*,,
RestoreObject,Grants permission to restore an archived copy of an object back into Amazon S3,Write,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
UpdateJobPriority,Grants permission to update the priority of an existing job,Write,job*,,
UpdateJobPriority,Grants permission to update the priority of an existing job,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256  s3:RequestJobPriority  s3:ExistingJobPriority  s3:ExistingJobOperation,
UpdateJobStatus,Grants permission to update the status for the specified job,Write,job*,,
UpdateJobStatus,Grants permission to update the status for the specified job,Write,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256  s3:ExistingJobPriority  s3:ExistingJobOperation  s3:JobSuspendedCause,
